start	end	text
1024	9608	So why don't you kind of show me where you are right now, what you think you've got done and what you just already took care of?
10428	11069	Yeah, right.
11289	16291	So first of all, I have done these connections.
16891	20473	So when this camera moves towards us, I need to move.
21413	24135	Yeah, I'm going to start tracking your hand.
24615	25735	OK, all right.
27711	34953	First of all these connections were done through the radio to our amplifier.
36333	43154	For these are like L side input and R side input both are connected to our radio.
44335	51916	Then we have also done connected our speakers through these gray wires.
52917	54057	Okay that's gray, yep.
55006	82991	and it goes to the back of our back of our amplifier okay right so it is connected over here okay so these two wires right and here is our power supply to power it up power this power supply is being used to power our radio yeah is the power supply on or off it's off it's off now yeah
83846	84026	and the
